dataset,k,L,method,params,tvd,outputsize
sift-128-euclidean,13,100,opt,"E2LSH(k=13, L=100, w=870)", 0.03705244870067165, 52.62
sift-128-euclidean,14,100,opt,"E2LSH(k=14, L=100, w=870)", 0.039552593563914835, 51.76
sift-128-euclidean,15,100,opt,"E2LSH(k=15, L=100, w=870)", 0.03955548173454648, 48.3
sift-128-euclidean,15,300,opt,"E2LSH(k=15, L=300, w=870)", 0.03696819976510556, 54.4
sift-128-euclidean,15,200,opt,"E2LSH(k=15, L=200, w=870)", 0.0371073544608587, 53.98
sift-128-euclidean,12,100,uniform,"E2LSH(k=12, L=100, w=870)", 0.6443545916289666, 54.12
sift-128-euclidean,13,100,uniform,"E2LSH(k=13, L=100, w=870)", 0.6480558719981915, 52.62
sift-128-euclidean,14,100,uniform,"E2LSH(k=14, L=100, w=870)", 0.6466143170180623, 51.76
sift-128-euclidean,15,100,uniform,"E2LSH(k=15, L=100, w=870)", 0.6449990025800405, 48.3
sift-128-euclidean,15,300,uniform,"E2LSH(k=15, L=300, w=870)", 0.6844511792929369, 54.4
sift-128-euclidean,15,200,uniform,"E2LSH(k=15, L=200, w=870)", 0.6755843505961414, 53.98
sift-128-euclidean,12,100,weighted_uniform,"E2LSH(k=12, L=100, w=870)", 0.5132578403090965, 54.12
sift-128-euclidean,13,100,weighted_uniform,"E2LSH(k=13, L=100, w=870)", 0.5223855570374045, 52.62
sift-128-euclidean,14,100,weighted_uniform,"E2LSH(k=14, L=100, w=870)", 0.5307390770848767, 51.76
sift-128-euclidean,15,100,weighted_uniform,"E2LSH(k=15, L=100, w=870)", 0.5388794244648737, 48.3
sift-128-euclidean,15,300,weighted_uniform,"E2LSH(k=15, L=300, w=870)", 0.5782262160311324, 54.4
sift-128-euclidean,15,200,weighted_uniform,"E2LSH(k=15, L=200, w=870)", 0.5608380222811011, 53.98
sift-128-euclidean,12,100,approx_degree,"E2LSH(k=12, L=100, w=870)", 0.06458688177410965, 54.12
sift-128-euclidean,13,100,approx_degree,"E2LSH(k=13, L=100, w=870)", 0.06704609079422537, 52.62
sift-128-euclidean,14,100,approx_degree,"E2LSH(k=14, L=100, w=870)", 0.07144693112236458, 51.76
