dataset,k,L,method,params,tvd,outputsize
mnist-784-euclidean,8,100,opt,"E2LSH(k=8, L=100, w=1500)", 0.012408533918609427, 63.0
mnist-784-euclidean,14,1000,opt,"E2LSH(k=14, L=1000, w=1500)", 0.010872506986186107, 14.82
mnist-784-euclidean,10,1000,opt,"E2LSH(k=10, L=1000, w=1500)", 0.012539525396909992, 86.76
mnist-784-euclidean,8,200,opt,"E2LSH(k=8, L=200, w=1500)", 0.012361808362667578, 104.06
mnist-784-euclidean,10,200,opt,"E2LSH(k=10, L=200, w=1500)", 0.01224204520300369, 29.18
mnist-784-euclidean,8,500,approx_degree,"E2LSH(k=8, L=500, w=1500)", 0.07461493879609507, 215.28
mnist-784-euclidean,12,500,approx_degree,"E2LSH(k=12, L=500, w=1500)", 0.042108585340802994, 22.78
mnist-784-euclidean,12,200,approx_degree,"E2LSH(k=12, L=200, w=1500)", 0.03118396265426531, 11.78
mnist-784-euclidean,14,500,approx_degree,"E2LSH(k=14, L=500, w=1500)", 0.03169250406661815, 12.72
mnist-784-euclidean,12,1000,approx_degree,"E2LSH(k=12, L=1000, w=1500)", 0.055181645853143585, 34.44
mnist-784-euclidean,10,500,approx_degree,"E2LSH(k=10, L=500, w=1500)", 0.06927535374065857, 49.48
mnist-784-euclidean,14,100,approx_degree,"E2LSH(k=14, L=100, w=1500)", 0.019314, 5.36
mnist-784-euclidean,10,100,approx_degree,"E2LSH(k=10, L=100, w=1500)", 0.034543329675283875, 19.36
mnist-784-euclidean,12,100,approx_degree,"E2LSH(k=12, L=100, w=1500)", 0.025993986507936512, 10.14
mnist-784-euclidean,14,200,approx_degree,"E2LSH(k=14, L=200, w=1500)", 0.02607474699002408, 8.08
mnist-784-euclidean,8,1000,approx_degree,"E2LSH(k=8, L=1000, w=1500)", 0.0827176233015153, 339.5
mnist-784-euclidean,8,100,approx_degree,"E2LSH(k=8, L=100, w=1500)", 0.059513603278374544, 63.0
mnist-784-euclidean,14,1000,approx_degree,"E2LSH(k=14, L=1000, w=1500)", 0.031614570059424356, 14.82
mnist-784-euclidean,10,1000,approx_degree,"E2LSH(k=10, L=1000, w=1500)", 0.07160345989528791, 86.76
mnist-784-euclidean,8,200,approx_degree,"E2LSH(k=8, L=200, w=1500)", 0.06507107336554194, 104.06
mnist-784-euclidean,10,200,approx_degree,"E2LSH(k=10, L=200, w=1500)", 0.04640289734903034, 29.18
mnist-784-euclidean,8,500,rank,"E2LSH(k=8, L=500, w=1500)", 0.012758596424324474, 215.28
mnist-784-euclidean,12,500,rank,"E2LSH(k=12, L=500, w=1500)", 0.011734082446311862, 22.78
mnist-784-euclidean,12,200,rank,"E2LSH(k=12, L=200, w=1500)", 0.010397674483343994, 11.78
mnist-784-euclidean,14,500,rank,"E2LSH(k=14, L=500, w=1500)", 0.012516318198722612, 12.72
mnist-784-euclidean,12,1000,rank,"E2LSH(k=12, L=1000, w=1500)", 0.01137361125450551, 34.44
mnist-784-euclidean,10,500,rank,"E2LSH(k=10, L=500, w=1500)", 0.011888457858963647, 49.48
mnist-784-euclidean,14,100,rank,"E2LSH(k=14, L=100, w=1500)", 0.011081190476190477, 5.36
mnist-784-euclidean,10,100,rank,"E2LSH(k=10, L=100, w=1500)", 0.011841488502222408, 19.36
mnist-784-euclidean,12,100,rank,"E2LSH(k=12, L=100, w=1500)", 0.011225426190476194, 10.14
mnist-784-euclidean,14,200,rank,"E2LSH(k=14, L=200, w=1500)", 0.011591787581699346, 8.08
mnist-784-euclidean,8,1000,rank,"E2LSH(k=8, L=1000, w=1500)", 0.012525471991128747, 339.5
mnist-784-euclidean,8,100,rank,"E2LSH(k=8, L=100, w=1500)", 0.012425125930393553, 63.0
mnist-784-euclidean,14,1000,rank,"E2LSH(k=14, L=1000, w=1500)", 0.010876906424331954, 14.82
mnist-784-euclidean,10,1000,rank,"E2LSH(k=10, L=1000, w=1500)", 0.012650469951636888, 86.76
mnist-784-euclidean,8,200,rank,"E2LSH(k=8, L=200, w=1500)", 0.012372302837237675, 104.06
mnist-784-euclidean,10,200,rank,"E2LSH(k=10, L=200, w=1500)", 0.012344725840394729, 29.18
mnist-784-euclidean,8,500,weighted_uniform,"E2LSH(k=8, L=500, w=1500)", 0.8330257312910904, 215.28
mnist-784-euclidean,12,500,weighted_uniform,"E2LSH(k=12, L=500, w=1500)", 0.44183101690009335, 22.78
mnist-784-euclidean,12,200,weighted_uniform,"E2LSH(k=12, L=200, w=1500)", 0.30033885540030875, 11.78
mnist-784-euclidean,14,500,weighted_uniform,"E2LSH(k=14, L=500, w=1500)", 0.28356041241441077, 12.72
mnist-784-euclidean,12,1000,weighted_uniform,"E2LSH(k=12, L=1000, w=1500)", 0.5262586348942072, 34.44
mnist-784-euclidean,10,500,weighted_uniform,"E2LSH(k=10, L=500, w=1500)", 0.7226422432551115, 49.48
mnist-784-euclidean,14,100,weighted_uniform,"E2LSH(k=14, L=100, w=1500)", 0.14138133333333333, 5.36
mnist-784-euclidean,10,100,weighted_uniform,"E2LSH(k=10, L=100, w=1500)", 0.43561752438728185, 19.36
mnist-784-euclidean,12,100,weighted_uniform,"E2LSH(k=12, L=100, w=1500)", 0.276935126984127, 10.14
mnist-784-euclidean,14,200,weighted_uniform,"E2LSH(k=14, L=200, w=1500)", 0.2589874155486756, 8.08
